fileName,name,contentUrl,fileFormat
behaviour.csv,behaviour,NA,csv
census.csv,census,NA,csv
cones.csv,cones,NA,csv
dbaadmums.scv,dbaadmums,NA,csv
dbabehaviour.csv,dbabehaviour,NA,csv
dbaflastall.csv,dbaflastall,NA,csv
dbajuvenile.csv,dbajuvenile,NA,csv
dbamidden.csv,dbamidden,NA,csv
dbatrapping.csv,dbatrapping,NA,csv
flastall.cav,flastall,NA,csv
flastall2.csv,flastall2,NA,csv
historic_squirrel_ids.csv,historic_squirrel_ids,NA,csv
juvenile.csv,juvenile,NA,csv
litter.csv,litter,NA,csv
pb_data.csv,pb_data,NA,csv
pedigree.csv,pedigree,NA,csv
pedigree_clean.csv,pedigree_clean,NA,csv
squirrel.csv,squirrel,NA,csv
squirrel_alias.csv,squirrel_alias,NA,csv
trapping.csv,trapping,NA,csv